Day,Bench_Intensity,Squat_Intensity,Deadlift_Intensity
1,0,0.0585779,0.455869
2,0.181064,0.203353,0.309487
3,0.304167,0.63402,0
4,0.561499,0.171978,0.355518
5,0.0201992,0.287376,0.347667
6,0.639055,0.11481,0.283716
7,0,0.53492,0.233989
8,0.294327,0.573765,0
9,0.190093,0.445226,0.419559
10,0.0201843,0.0576548,0.128678
11,0.365905,0.241509,0.094332
12,0.267387,0.139962,0
13,0,0.421627,0.149911
14,0.0599486,0.112403,0.177473
15,0.332273,0.296097,0.337109
16,0.170736,0.496427,0.161873
17,0.288102,0,0.337203
18,0.727596,0.442679,0.128397
19,0,0.161253,0.0396329
20,0.250207,0.0492742,0.241647
21,0,0.551762,0.56637
22,0,0.386234,0.315416
23,0.0262106,0.160732,0.151756
24,0.0234671,0.0170012,0.00656679
25,0,0.079247,0.0958118
26,0.243085,0,0.0310947
27,0.371641,0,0.0754972
28,0.132145,0,0.21114
29,0.100979,0.0631622,0.168342
30,0.258983,0,0.220471
31,0,0.127181,0.0853788
32,0.198793,0.329383,0.283347
33,0.61527,0.219981,0.097464
34,0.278528,0.349801,0.133387
35,0,0.18874,0.234515
36,0.343397,0.0859149,0
37,0.181295,0.0822837,0.0121941
38,0.189401,0.479289,0.140358
39,0.164361,0.142447,0.340232
40,0.195631,0.108646,0.317567
41,0.378844,0.923241,0.277173
42,0.0339744,0.103908,0
43,0.142027,0.148332,0.118799
44,0.136661,0.302978,0.323445
45,0.437283,0.199216,0.315117
46,0.42316,0.343099,0
47,0,0.25116,0.0530646
48,0.0329499,0.575658,0.264516
49,0.482609,0.161645,0
50,0.289327,0.407569,0.317464
51,0.407249,0.455274,0.191183
52,0.0948369,0.225241,0.510725
53,0.556896,0,0.026866
54,0.112251,0.115388,0.0805477
55,0,0.113016,0.173876
56,0.0971622,0,0.427126
57,0.181229,0.620551,0.345915
58,0.516652,0.141818,0.30417
59,0.263826,0.209658,0.131152
60,0.238495,0.393318,0.379151
61,0.339211,0,0.297189
62,0.0486862,0.557587,0
63,0.236526,0.0801411,0.232254
64,0.418311,0.0504799,0.412945
65,0.366433,0.0286972,0.158662
66,0.177454,0.423799,0.0664881
67,0.233941,0.343943,0.186312
68,0,0.532263,0.239122
69,0.481642,0.478659,0.476628
70,0.117366,0.188165,0.250227
71,0.07181,0,0.155003
72,0.275542,0.519126,0.661558
73,0.0686769,0,0
74,0.100158,0.385599,0.188216
75,0.163305,0.157067,0.584501
76,0.290279,0,0.444455
77,0,0.308278,0.361836
78,0.451114,0.0722733,0.726205
79,0.121375,0.226248,0.130588
80,0,0.137899,0.160986
81,0.150907,0.182743,0.0887456
82,0.447632,0,0
83,0.141463,0.246684,0.267585
84,0,0.0938447,0.126665
85,0.137423,0.390035,0
86,0.013243,0.498606,0
87,0.143013,0,0.0614861
88,0.113449,0.311601,0.341102
89,0.421759,0.519271,0.247624
90,0,0.218909,0.11905
91,0.214016,0.139902,0.00802817
92,0.304383,0.439276,0.289226
93,0.0728229,0.21292,0.148543
94,0.0964248,0.392919,0.198231
95,0,0.0988833,0.226694
96,0.389555,0.138193,0.298337
97,0.196446,0,0
98,0.0816441,0.597649,0.257381
99,0,0.0622861,0.175492
100,0.0474372,0,0.792367
